"date","texas","puerto_rico","florida"
2017-08-20,295,32,239
2017-08-21,998,24,527
2017-08-22,696,32,577
2017-08-23,1130,36,596
2017-08-24,1851,135,933
2017-08-25,2693,39,533
2017-08-26,1953,15,199
2017-08-27,2962,11,211
2017-08-28,5072,42,569
2017-08-29,5013,14,508
2017-08-30,4436,42,589
2017-08-31,3935,40,553
2017-09-01,2746,18,651
2017-09-02,1919,15,569
2017-09-03,1435,50,528
2017-09-04,1522,224,584
2017-09-05,2114,500,1580
2017-09-06,1728,938,2781
2017-09-07,1607,635,3056
2017-09-08,1384,227,3434
2017-09-09,814,121,2974
2017-09-10,724,154,4003
2017-09-11,1226,151,3760
2017-09-12,1224,143,2525
2017-09-13,1067,73,2004
2017-09-14,1007,127,1781
2017-09-15,1122,56,1087
2017-09-16,554,36,703
2017-09-17,522,125,542
2017-09-18,725,485,700
2017-09-19,983,908,912
2017-09-20,866,1461,700
2017-09-21,799,1415,620
2017-09-22,1070,1270,577
2017-09-23,844,665,541
2017-09-24,411,674,360
2017-09-25,812,1562,518
2017-09-26,1295,2577,832
2017-09-27,924,2107,728
2017-09-28,863,2177,675
2017-09-29,949,2202,559
2017-09-30,504,1593,491
2017-10-01,604,1394,621
2017-10-02,839,1026,684
2017-10-03,891,2217,746
2017-10-04,779,1492,635
2017-10-05,907,824,722
2017-10-06,758,1252,695
2017-10-07,411,352,466
2017-10-08,400,317,395
2017-10-09,828,580,427
